fips_pays,annee,mois,nb_evenements,nb_articles_total,ton_moyen,goldstein_moyen,ton_volatilite,nb_conflits,pct_conflits,nb_cooperation,pct_cooperation,mentions_moyennes,pays_nom
CM,2026,4,8335,50253,-2.074732095247154,1.4411037792441512,3.480345967444722,1394,16.72,6941,83.28,6.143851229754049,Cameroun
GH,2026,4,12467,66224,-0.20892391987727102,1.2124488650036094,4.710452045381298,2304,18.48,10163,81.52,5.414534370738751,Ghana
NG,2026,4,2373,13919,-2.666209231157131,-0.2935524652338812,4.556611773550937,771,32.49,1602,67.51,5.951959544879899,Niger
NI,2026,4,99813,436945,-2.0424107400589335,0.0035166112291107154,4.867782007622788,30126,30.18,69687,69.82,4.434983418993518,Nigeria
TO,2026,4,771,5014,1.0133771529910982,1.8153047989623865,3.799550806055745,118,15.3,653,84.7,6.5616083009079125,Togo
UV,2026,4,1856,11519,-2.2025522776726065,0.09310344827586209,4.5855155942072106,583,31.41,1273,68.59,6.315193965517243,Burkina Faso
BN,2026,5,1400,8272,-1.480764911504568,0.3902857142857142,5.219626622500814,368,26.29,1032,73.71,6.010714285714284,Benin
CM,2026,5,2042,12912,-1.6314475582609178,1.0231635651322235,4.623747454177468,431,21.11,1611,78.89,6.395200783545541,Cameroun
GH,2026,5,12640,67056,-0.5032630976726901,1.2286867088607594,4.6073727187417575,2343,18.54,10297,81.46,5.417800632911392,Ghana
NG,2026,5,2107,12909,-1.9440825650126896,0.07887992406264843,4.5359417006282445,657,31.18,1450,68.82,6.230659705742762,Niger
NI,2026,5,96394,422939,-1.2870195680275642,0.1453233603751269,4.782677124918253,28286,29.34,68108,70.66,4.447455235803059,Nigeria
TO,2026,5,594,4220,0.3342847911928881,1.7005050505050505,3.7673565948565795,100,16.84,494,83.16,7.287878787878787,Togo
UV,2026,5,1198,8275,-0.9740530549816742,0.6418196994991653,4.473372316195623,331,27.63,867,72.37,7.016694490818031,Burkina Faso
