mois,secteur,nb_mentions,tone_moyen
202505,Economie,215,0.5591811863333243
202505,Sante,150,-0.1611268928141778
202505,Politique,144,0.010774478949973021
202505,Education,126,0.9256306186346004
202505,Environnement,100,0.18794602068752259
202505,Tourisme,99,0.6802425440975992
202505,Securite,98,-1.1267382295802566
202505,Agriculture,95,0.7646116925875326
202505,Autre,89,0.8460647051731981
202506,Economie,969,-1.2718404620921004
202506,Securite,717,-3.800379262222653
202506,Politique,704,-2.7220655519972534
202506,Sante,702,-1.102028181044212
202506,Education,505,0.22757928699339916
202506,Autre,483,-0.5589250211035882
202506,Agriculture,424,-0.7520965876651549
202506,Environnement,417,-0.6922686130578037
202506,Tourisme,398,0.2973915828052242
202507,Economie,2032,-0.49458003605048495
202507,Politique,1371,-1.27892259151968
202507,Sante,1269,-0.9468348424545963
202507,Securite,1046,-2.747985164710238
202507,Autre,1021,1.1932673680173371
202507,Education,1014,0.43423764520614694
202507,Tourisme,934,0.12767141622434947
202507,Environnement,879,-0.45922898583860267
202507,Agriculture,609,-0.3923922861903494
202508,Economie,1545,-0.2398787624118597
202508,Politique,1118,-1.4730312955815639
202508,Sante,1094,-1.1971034290265716
202508,Autre,943,1.006723572340937
202508,Education,910,0.22669114333221727
202508,Securite,786,-2.221978893099682
202508,Environnement,749,-0.7004073586541816
202508,Tourisme,688,0.02444979904806315
202508,Agriculture,625,-0.21409038847706324
202509,Economie,1446,-0.10566626711577831
202509,Sante,1195,-1.0092912979588309
202509,Autre,1130,0.2665859451957103
202509,Politique,1015,-1.410301238069525
202509,Education,978,-0.2489432179328357
202509,Environnement,780,-0.4214211091777699
202509,Securite,761,-2.395124227299461
202509,Tourisme,655,0.35148114959540194
202509,Agriculture,584,-0.2746882329346044
202510,Economie,1776,-0.5088867289122935
202510,Autre,1757,0.7420260562689786
202510,Securite,1239,-2.9628081653619343
202510,Environnement,1229,-1.9258034100517651
202510,Sante,1135,-0.18582006438741736
202510,Politique,1083,-0.7071686394706759
202510,Education,874,0.7503315806030054
202510,Tourisme,724,0.283992604981225
202510,Agriculture,615,-0.18322931685303334
202511,Economie,1589,0.372629276481253
202511,Politique,1063,-1.064499306872641
202511,Sante,1020,-0.2542752534943262
202511,Education,994,0.31061930766815
202511,Autre,806,1.3020543328371588
202511,Securite,758,-2.0166426704169695
202511,Environnement,721,0.056921188133465854
202511,Tourisme,695,1.0538592429947269
202511,Agriculture,550,0.1902628953284788
202512,Securite,4546,-3.050676350886786
202512,Politique,3857,-3.1057434951040723
202512,Economie,2638,-1.518602753309659
202512,Autre,1829,0.038471291493800824
202512,Sante,1820,-1.4559724458821306
202512,Education,1291,-1.0871422298346043
202512,Environnement,1026,-1.060654465335824
202512,Tourisme,803,-0.40364537217439667
202512,Agriculture,707,-0.682351099023268
202601,Autre,1534,0.47498085885452745
202601,Economie,1532,-0.6704458110205387
202601,Securite,1176,-2.7518079061084957
202601,Sante,1079,-1.2991590263222923
202601,Politique,1075,-2.080503432183847
202601,Environnement,809,-0.9418364732556224
202601,Education,756,-0.5009795552845857
202601,Tourisme,728,0.018899556560916048
202601,Agriculture,473,-0.4286437549144137
202602,Economie,1467,-0.21113108022669894
202602,Sante,1171,-0.9875935380806817
202602,Politique,1155,-2.697034595973584
202602,Securite,944,-3.467028539758249
202602,Autre,926,0.6314973930483475
202602,Education,878,-0.1942804570874208
202602,Environnement,690,-0.7370580800076335
202602,Tourisme,624,-0.09188912132470059
202602,Agriculture,578,-0.38171189683014994
202603,Economie,1614,-0.8241587223654315
202603,Sante,1145,-1.0687600634279293
202603,Politique,1136,-1.5187293021963808
202603,Securite,861,-2.5730376096444143
202603,Education,848,-0.3607148380354933
202603,Environnement,810,-0.8425729713349707
202603,Tourisme,724,-0.9036334981950908
202603,Agriculture,612,-0.8957314577940231
202603,Autre,578,0.45125201488683553
202604,Economie,1556,-0.7621078544332475
202604,Politique,1281,-1.7678017144169738
202604,Sante,1095,-1.2814488812125295
202604,Securite,1024,-2.7255300591315046
202604,Education,774,-0.2363188541757961
202604,Tourisme,739,-0.2615562156342877
202604,Autre,676,0.22464870901992326
202604,Environnement,651,-0.6350536752404246
202604,Agriculture,586,-0.6696571119008727
202605,Economie,1274,-0.046027952669762666
202605,Sante,929,-0.8073150576265582
202605,Politique,835,-1.0554682182252437
202605,Education,761,-0.42857283876902735
202605,Securite,748,-1.707610263458656
202605,Environnement,605,-0.19824432278385912
202605,Tourisme,558,0.400429995519734
202605,Autre,532,0.6681878892714057
202605,Agriculture,482,0.3974446357506473
