annee,mois,pays_partenaire,nb_interactions,qualite_relation,ton_moyen,nb_cooperation,nb_conflits,visibilite_mediatique,pays_nom
2026,1,NGA,67,0.5940298507462686,-1.1532294586346272,51,16,212,Nigeria
2026,1,SEN,4,-3.649999999999999,2.828358005895715,2,2,14,Senegal
2026,1,TGO,20,2.735,-0.09129554727255207,20,0,44,Togo
2026,2,BFA,6,8.0,3.31950207468879,6,0,20,Burkina Faso
2026,2,CHN,2,-7.0,-4.86853582554517,0,2,12,Chine
2026,2,FRA,30,-0.3633333333333333,-1.8903526683806497,16,14,123,France
2026,2,GHA,9,0.8444444444444443,1.292340284566619,8,1,27,Ghana
2026,2,NER,37,-1.6378378378378375,-5.579754846240407,8,29,200,Niger
2026,2,NGA,103,-1.0300970873786406,-2.72446086746402,67,36,380,Nigeria
2026,2,SEN,4,0.17499999999999982,1.7923076923076906,4,0,30,Senegal
2026,2,TGO,17,-0.2941176470588236,-0.15378260810005107,5,12,74,Togo
2026,3,BFA,34,1.0294117647058825,-0.4497945109145145,24,10,160,Burkina Faso
2026,3,CHN,6,5.4,5.3709684639917175,6,0,52,Chine
2026,3,CIV,8,-6.625,-2.354189752401885,2,6,39,Cote d'Ivoire
2026,3,FRA,29,0.5551724137931032,0.5057049556878725,22,7,134,France
2026,3,GHA,13,3.623076923076923,-3.556917610055555,13,0,42,Ghana
2026,3,NER,37,0.4108108108108107,-1.0747703937804434,27,10,190,Niger
2026,3,NGA,76,0.918421052631579,-1.4530601089813537,58,18,295,Nigeria
2026,3,SEN,6,3.2666666666666666,-1.7611646721057066,6,0,30,Senegal
2026,3,TGO,12,-3.9166666666666665,-1.7327359605120267,2,10,56,Togo
2026,4,BFA,4,-2.875,-3.9258290918349603,2,2,28,Burkina Faso
2026,4,CHN,29,3.237931034482758,5.011622878698218,29,0,184,Chine
2026,4,FRA,53,-1.9603773584905657,-3.8737870617311234,23,30,199,France
2026,4,GHA,13,1.4615384615384615,-3.6086657423022563,11,2,26,Ghana
2026,4,NER,32,-0.3124999999999999,-2.736132257907178,20,12,94,Niger
2026,4,NGA,76,0.35000000000000026,-1.6798328220309606,61,15,218,Nigeria
2026,4,SEN,8,8.0,3.22580645161291,8,0,20,Senegal
2026,4,TGO,2,4.9,1.546410589572845,2,0,3,Togo
2026,5,CHN,4,2.7,2.8164131588256103,4,0,24,Chine
2026,5,FRA,8,-1.875,0.009949465617986375,5,3,40,France
2026,5,GHA,2,6.4,7.19178082191781,2,0,10,Ghana
2026,5,NER,35,0.3142857142857142,-2.918405245340774,21,14,141,Niger
2026,5,NGA,78,0.15897435897435896,0.5045565994703362,56,22,266,Nigeria
2026,5,TGO,5,2.7199999999999998,-2.07116595896042,5,0,15,Togo
